No,County,Confirmed,Date
1.,Alba,265,2020-05-17
2.,Arad,696,2020-05-17
3.,Argeș,210,2020-05-17
4.,Bacău,431,2020-05-17
5.,Bihor,501,2020-05-17
6.,Bistrița-Năsăud,301,2020-05-17
7.,Botoșani,659,2020-05-17
8.,Brașov,616,2020-05-17
9.,Brăila,20,2020-05-17
10.,Buzău,105,2020-05-17
11.,Caraș-Severin,110,2020-05-17
12.,Călărași,73,2020-05-17
13.,Cluj,526,2020-05-17
14.,Constanța,258,2020-05-17
15.,Covasna,228,2020-05-17
16.,Dâmbovița,228,2020-05-17
17.,Dolj,165,2020-05-17
18.,Galați,537,2020-05-17
19.,Giurgiu,205,2020-05-17
20.,Gorj,90,2020-05-17
21.,Harghita,63,2020-05-17
22.,Hunedoara,616,2020-05-17
23.,Ialomița,321,2020-05-17
24.,Iași,366,2020-05-17
25.,Ilfov,416,2020-05-17
26.,Maramureș,81,2020-05-17
27.,Mehedinți,92,2020-05-17
28.,Mureș,652,2020-05-17
29.,Neamț,834,2020-05-17
30.,Olt,53,2020-05-17
31.,Prahova,79,2020-05-17
32.,Satu Mare,57,2020-05-17
33.,Sălaj,75,2020-05-17
34.,Sibiu,451,2020-05-17
35.,Suceava,3421,2020-05-17
36.,Teleorman,114,2020-05-17
37.,Timiș,494,2020-05-17
38.,Tulcea,108,2020-05-17
39.,Vaslui,146,2020-05-17
40.,Vâlcea,27,2020-05-17
41.,Vrancea,507,2020-05-17
42.,Mun. București,1636,2020-05-17
43.,Not identified,38,2020-05-17
