No,County,Confirmed,Date
1.,Alba,154,2020-04-18
2.,Arad,391,2020-04-18
3.,Argeș,74,2020-04-18
4.,Bacău,102,2020-04-18
5.,Bihor,233,2020-04-18
6.,Bistrița-Năsăud,104,2020-04-18
7.,Botoșani,308,2020-04-18
8.,Brașov,308,2020-04-18
9.,Brăila,16,2020-04-18
10.,Buzău,15,2020-04-18
11.,Caraș-Severin,64,2020-04-18
12.,Călărași,40,2020-04-18
13.,Cluj,237,2020-04-18
14.,Constanța,181,2020-04-18
15.,Covasna,154,2020-04-18
16.,Dâmbovița,73,2020-04-18
17.,Dolj,59,2020-04-18
18.,Galați,262,2020-04-18
19.,Giurgiu,91,2020-04-18
20.,Gorj,12,2020-04-18
21.,Harghita,16,2020-04-18
22.,Hunedoara,385,2020-04-18
23.,Ialomița,115,2020-04-18
24.,Iași,154,2020-04-18
25.,Ilfov,159,2020-04-18
26.,Maramureș,55,2020-04-18
27.,Mehedinți,35,2020-04-18
28.,Mureș,268,2020-04-18
29.,Neamț,357,2020-04-18
30.,Olt,13,2020-04-18
31.,Prahova,51,2020-04-18
32.,Satu Mare,44,2020-04-18
33.,Sălaj,20,2020-04-18
34.,Sibiu,139,2020-04-18
35.,Suceava,2019,2020-04-18
36.,Teleorman,79,2020-04-18
37.,Timiș,361,2020-04-18
38.,Tulcea,31,2020-04-18
39.,Vaslui,58,2020-04-18
40.,Vâlcea,18,2020-04-18
41.,Vrancea,186,2020-04-18
42.,Mun. București,977,2020-04-18
