No,County,Confirmed,Date
1.,Alba,479,2020-07-09
2.,Arad,709,2020-07-09
3.,Argeș,1138,2020-07-09
4.,Bacău,698,2020-07-09
5.,Bihor,704,2020-07-09
6.,Bistrița-Năsăud,603,2020-07-09
7.,Botoșani,1060,2020-07-09
8.,Brașov,1851,2020-07-09
9.,Brăila,271,2020-07-09
10.,Buzău,727,2020-07-09
11.,Caraș-Severin,122,2020-07-09
12.,Călărași,197,2020-07-09
13.,Cluj,717,2020-07-09
14.,Constanța,508,2020-07-09
15.,Covasna,318,2020-07-09
16.,Dâmbovița,822,2020-07-09
17.,Dolj,356,2020-07-09
18.,Galați,1138,2020-07-09
19.,Giurgiu,281,2020-07-09
20.,Gorj,338,2020-07-09
21.,Harghita,360,2020-07-09
22.,Hunedoara,688,2020-07-09
23.,Ialomița,503,2020-07-09
24.,Iași,1048,2020-07-09
25.,Ilfov,850,2020-07-09
26.,Maramureș,227,2020-07-09
27.,Mehedinți,233,2020-07-09
28.,Mureș,790,2020-07-09
29.,Neamț,992,2020-07-09
30.,Olt,328,2020-07-09
31.,Prahova,679,2020-07-09
32.,Satu Mare,82,2020-07-09
33.,Sălaj,121,2020-07-09
34.,Sibiu,685,2020-07-09
35.,Suceava,4134,2020-07-09
36.,Teleorman,173,2020-07-09
37.,Timiș,566,2020-07-09
38.,Tulcea,192,2020-07-09
39.,Vaslui,209,2020-07-09
40.,Vâlcea,94,2020-07-09
41.,Vrancea,1171,2020-07-09
42.,Mun. București,3590,2020-07-09
43.,Not identified,37,2020-07-09
