No,County,Confirmed,Date
1.,Alba,165,2020-04-27
2.,Arad,522,2020-04-27
3.,Argeș,131,2020-04-27
4.,Bacău,172,2020-04-27
5.,Bihor,416,2020-04-27
6.,Bistrița-Năsăud,158,2020-04-27
7.,Botoșani,431,2020-04-27
8.,Brașov,416,2020-04-27
9.,Brăila,22,2020-04-27
10.,Buzău,17,2020-04-27
11.,Caraș-Severin,87,2020-04-27
12.,Călărași,51,2020-04-27
13.,Cluj,308,2020-04-27
14.,Constanța,233,2020-04-27
15.,Covasna,179,2020-04-27
16.,Dâmbovița,96,2020-04-27
17.,Dolj,82,2020-04-27
18.,Galați,354,2020-04-27
19.,Giurgiu,127,2020-04-27
20.,Gorj,38,2020-04-27
21.,Harghita,19,2020-04-27
22.,Hunedoara,472,2020-04-27
23.,Ialomița,154,2020-04-27
24.,Iași,230,2020-04-27
25.,Ilfov,246,2020-04-27
26.,Maramureș,70,2020-04-27
27.,Mehedinți,58,2020-04-27
28.,Mureș,407,2020-04-27
29.,Neamț,435,2020-04-27
30.,Olt,36,2020-04-27
31.,Prahova,66,2020-04-27
32.,Satu Mare,55,2020-04-27
33.,Sălaj,30,2020-04-27
34.,Sibiu,259,2020-04-27
35.,Suceava,2650,2020-04-27
36.,Teleorman,96,2020-04-27
37.,Timiș,443,2020-04-27
38.,Tulcea,40,2020-04-27
39.,Vaslui,91,2020-04-27
40.,Vâlcea,24,2020-04-27
41.,Vrancea,245,2020-04-27
42.,Mun. București,1190,2020-04-27
43.,Not identified,18,2020-04-27
