No,County,Confirmed,Date
1.,Alba,499,2020-07-14
2.,Arad,726,2020-07-14
3.,Argeș,1483,2020-07-14
4.,Bacău,775,2020-07-14
5.,Bihor,715,2020-07-14
6.,Bistrița-Năsăud,642,2020-07-14
7.,Botoșani,1081,2020-07-14
8.,Brașov,2076,2020-07-14
9.,Brăila,317,2020-07-14
10.,Buzău,842,2020-07-14
11.,Caraș-Severin,130,2020-07-14
12.,Călărași,214,2020-07-14
13.,Cluj,790,2020-07-14
14.,Constanța,553,2020-07-14
15.,Covasna,331,2020-07-14
16.,Dâmbovița,987,2020-07-14
17.,Dolj,394,2020-07-14
18.,Galați,1316,2020-07-14
19.,Giurgiu,293,2020-07-14
20.,Gorj,429,2020-07-14
21.,Harghita,389,2020-07-14
22.,Hunedoara,717,2020-07-14
23.,Ialomița,544,2020-07-14
24.,Iași,1084,2020-07-14
25.,Ilfov,923,2020-07-14
26.,Maramureș,239,2020-07-14
27.,Mehedinți,283,2020-07-14
28.,Mureș,821,2020-07-14
29.,Neamț,1006,2020-07-14
30.,Olt,394,2020-07-14
31.,Prahova,845,2020-07-14
32.,Satu Mare,82,2020-07-14
33.,Sălaj,123,2020-07-14
34.,Sibiu,707,2020-07-14
35.,Suceava,4188,2020-07-14
36.,Teleorman,198,2020-07-14
37.,Timiș,616,2020-07-14
38.,Tulcea,206,2020-07-14
39.,Vaslui,236,2020-07-14
40.,Vâlcea,171,2020-07-14
41.,Vrancea,1265,2020-07-14
42.,Mun. București,3918,2020-07-14
43.,Not identified,37,2020-07-14
