No,County,Confirmed,Date
1.,Alba,267,2020-05-18
2.,Arad,696,2020-05-18
3.,Argeș,214,2020-05-18
4.,Bacău,445,2020-05-18
5.,Bihor,508,2020-05-18
6.,Bistrița-Năsăud,301,2020-05-18
7.,Botoșani,664,2020-05-18
8.,Brașov,627,2020-05-18
9.,Brăila,20,2020-05-18
10.,Buzău,122,2020-05-18
11.,Caraș-Severin,110,2020-05-18
12.,Călărași,74,2020-05-18
13.,Cluj,526,2020-05-18
14.,Constanța,260,2020-05-18
15.,Covasna,228,2020-05-18
16.,Dâmbovița,236,2020-05-18
17.,Dolj,166,2020-05-18
18.,Galați,542,2020-05-18
19.,Giurgiu,205,2020-05-18
20.,Gorj,94,2020-05-18
21.,Harghita,65,2020-05-18
22.,Hunedoara,616,2020-05-18
23.,Ialomița,332,2020-05-18
24.,Iași,367,2020-05-18
25.,Ilfov,426,2020-05-18
26.,Maramureș,82,2020-05-18
27.,Mehedinți,92,2020-05-18
28.,Mureș,655,2020-05-18
29.,Neamț,834,2020-05-18
30.,Olt,53,2020-05-18
31.,Prahova,80,2020-05-18
32.,Satu Mare,57,2020-05-18
33.,Sălaj,75,2020-05-18
34.,Sibiu,457,2020-05-18
35.,Suceava,3448,2020-05-18
36.,Teleorman,116,2020-05-18
37.,Timiș,494,2020-05-18
38.,Tulcea,108,2020-05-18
39.,Vaslui,150,2020-05-18
40.,Vâlcea,27,2020-05-18
41.,Vrancea,515,2020-05-18
42.,Mun. București,1644,2020-05-18
43.,Not identified,38,2020-05-18
