No,County,Confirmed,Date
1.,Alba,33,2020-04-05
2.,Arad,150,2020-04-05
3.,Argeș,25,2020-04-05
4.,Bacău,38,2020-04-05
5.,Bihor,46,2020-04-05
6.,Bistrița-Năsăud,42,2020-04-05
7.,Botoșani,68,2020-04-05
8.,Brașov,131,2020-04-05
9.,Brăila,11,2020-04-05
10.,Buzău,12,2020-04-05
11.,Caraș-Severin,21,2020-04-05
12.,Călărași,30,2020-04-05
13.,Cluj,110,2020-04-05
14.,Constanța,114,2020-04-05
15.,Covasna,47,2020-04-05
16.,Dâmbovița,23,2020-04-05
17.,Dolj,27,2020-04-05
18.,Galați,101,2020-04-05
19.,Giurgiu,24,2020-04-05
20.,Gorj,8,2020-04-05
21.,Harghita,1,2020-04-05
22.,Hunedoara,124,2020-04-05
23.,Ialomița,56,2020-04-05
24.,Iași,88,2020-04-05
25.,Ilfov,78,2020-04-05
26.,Maramureș,42,2020-04-05
27.,Mehedinți,12,2020-04-05
28.,Mureș,57,2020-04-05
29.,Neamț,160,2020-04-05
30.,Olt,11,2020-04-05
31.,Prahova,26,2020-04-05
32.,Satu Mare,21,2020-04-05
33.,Sălaj,8,2020-04-05
34.,Sibiu,49,2020-04-05
35.,Suceava,1215,2020-04-05
36.,Teleorman,21,2020-04-05
37.,Timiș,176,2020-04-05
38.,Tulcea,6,2020-04-05
39.,Vaslui,13,2020-04-05
40.,Vâlcea,8,2020-04-05
41.,Vrancea,79,2020-04-05
42.,Mun. București,552,2020-04-05
