No,County,Confirmed,Date
1.,Alba,433,2020-06-27
2.,Arad,706,2020-06-27
3.,Argeș,715,2020-06-27
4.,Bacău,613,2020-06-27
5.,Bihor,670,2020-06-27
6.,Bistrița-Năsăud,510,2020-06-27
7.,Botoșani,995,2020-06-27
8.,Brașov,1395,2020-06-27
9.,Brăila,165,2020-06-27
10.,Buzău,494,2020-06-27
11.,Caraș-Severin,113,2020-06-27
12.,Călărași,165,2020-06-27
13.,Cluj,669,2020-06-27
14.,Constanța,421,2020-06-27
15.,Covasna,276,2020-06-27
16.,Dâmbovița,491,2020-06-27
17.,Dolj,280,2020-06-27
18.,Galați,842,2020-06-27
19.,Giurgiu,266,2020-06-27
20.,Gorj,217,2020-06-27
21.,Harghita,309,2020-06-27
22.,Hunedoara,654,2020-06-27
23.,Ialomița,423,2020-06-27
24.,Iași,960,2020-06-27
25.,Ilfov,714,2020-06-27
26.,Maramureș,157,2020-06-27
27.,Mehedinți,183,2020-06-27
28.,Mureș,731,2020-06-27
29.,Neamț,958,2020-06-27
30.,Olt,187,2020-06-27
31.,Prahova,359,2020-06-27
32.,Satu Mare,76,2020-06-27
33.,Sălaj,117,2020-06-27
34.,Sibiu,638,2020-06-27
35.,Suceava,3990,2020-06-27
36.,Teleorman,158,2020-06-27
37.,Timiș,517,2020-06-27
38.,Tulcea,180,2020-06-27
39.,Vaslui,175,2020-06-27
40.,Vâlcea,51,2020-06-27
41.,Vrancea,1010,2020-06-27
42.,Mun. București,3006,2020-06-27
43.,Not identified,33,2020-06-27
