No,County,Confirmed,Date
1.,Alba,350,2020-05-27
2.,Arad,696,2020-05-27
3.,Argeș,245,2020-05-27
4.,Bacău,498,2020-05-27
5.,Bihor,561,2020-05-27
6.,Bistrița-Năsăud,323,2020-05-27
7.,Botoșani,733,2020-05-27
8.,Brașov,707,2020-05-27
9.,Brăila,27,2020-05-27
10.,Buzău,181,2020-05-27
11.,Caraș-Severin,112,2020-05-27
12.,Călărași,87,2020-05-27
13.,Cluj,540,2020-05-27
14.,Constanța,276,2020-05-27
15.,Covasna,230,2020-05-27
16.,Dâmbovița,268,2020-05-27
17.,Dolj,207,2020-05-27
18.,Galați,580,2020-05-27
19.,Giurgiu,212,2020-05-27
20.,Gorj,134,2020-05-27
21.,Harghita,121,2020-05-27
22.,Hunedoara,628,2020-05-27
23.,Ialomița,355,2020-05-27
24.,Iași,525,2020-05-27
25.,Ilfov,510,2020-05-27
26.,Maramureș,97,2020-05-27
27.,Mehedinți,108,2020-05-27
28.,Mureș,670,2020-05-27
29.,Neamț,873,2020-05-27
30.,Olt,78,2020-05-27
31.,Prahova,104,2020-05-27
32.,Satu Mare,61,2020-05-27
33.,Sălaj,87,2020-05-27
34.,Sibiu,494,2020-05-27
35.,Suceava,3465,2020-05-27
36.,Teleorman,138,2020-05-27
37.,Timiș,501,2020-05-27
38.,Tulcea,143,2020-05-27
39.,Vaslui,158,2020-05-27
40.,Vâlcea,28,2020-05-27
41.,Vrancea,587,2020-05-27
42.,Mun. București,1862,2020-05-27
43.,Not identified,34,2020-05-27
