No,County,Confirmed,Date
1.,Alba,414,2020-06-16
2.,Arad,705,2020-06-16
3.,Argeș,375,2020-06-16
4.,Bacău,573,2020-06-16
5.,Bihor,659,2020-06-16
6.,Bistrița-Năsăud,434,2020-06-16
7.,Botoșani,908,2020-06-16
8.,Brașov,1051,2020-06-16
9.,Brăila,93,2020-06-16
10.,Buzău,336,2020-06-16
11.,Caraș-Severin,112,2020-06-16
12.,Călărași,136,2020-06-16
13.,Cluj,611,2020-06-16
14.,Constanța,316,2020-06-16
15.,Covasna,248,2020-06-16
16.,Dâmbovița,372,2020-06-16
17.,Dolj,255,2020-06-16
18.,Galați,693,2020-06-16
19.,Giurgiu,248,2020-06-16
20.,Gorj,175,2020-06-16
21.,Harghita,220,2020-06-16
22.,Hunedoara,640,2020-06-16
23.,Ialomița,401,2020-06-16
24.,Iași,743,2020-06-16
25.,Ilfov,628,2020-06-16
26.,Maramureș,122,2020-06-16
27.,Mehedinți,157,2020-06-16
28.,Mureș,702,2020-06-16
29.,Neamț,929,2020-06-16
30.,Olt,133,2020-06-16
31.,Prahova,176,2020-06-16
32.,Satu Mare,66,2020-06-16
33.,Sălaj,107,2020-06-16
34.,Sibiu,558,2020-06-16
35.,Suceava,3808,2020-06-16
36.,Teleorman,150,2020-06-16
37.,Timiș,511,2020-06-16
38.,Tulcea,166,2020-06-16
39.,Vaslui,165,2020-06-16
40.,Vâlcea,39,2020-06-16
41.,Vrancea,787,2020-06-16
42.,Mun. București,2459,2020-06-16
43.,Not identified,34,2020-06-16
