No,County,Confirmed,Date
1.,Alba,491,2020-07-11
2.,Arad,713,2020-07-11
3.,Argeș,1284,2020-07-11
4.,Bacău,744,2020-07-11
5.,Bihor,707,2020-07-11
6.,Bistrița-Năsăud,625,2020-07-11
7.,Botoșani,1070,2020-07-11
8.,Brașov,1950,2020-07-11
9.,Brăila,287,2020-07-11
10.,Buzău,772,2020-07-11
11.,Caraș-Severin,126,2020-07-11
12.,Călărași,200,2020-07-11
13.,Cluj,753,2020-07-11
14.,Constanța,534,2020-07-11
15.,Covasna,328,2020-07-11
16.,Dâmbovița,885,2020-07-11
17.,Dolj,386,2020-07-11
18.,Galați,1220,2020-07-11
19.,Giurgiu,283,2020-07-11
20.,Gorj,405,2020-07-11
21.,Harghita,372,2020-07-11
22.,Hunedoara,706,2020-07-11
23.,Ialomița,521,2020-07-11
24.,Iași,1063,2020-07-11
25.,Ilfov,886,2020-07-11
26.,Maramureș,232,2020-07-11
27.,Mehedinți,256,2020-07-11
28.,Mureș,808,2020-07-11
29.,Neamț,1000,2020-07-11
30.,Olt,365,2020-07-11
31.,Prahova,732,2020-07-11
32.,Satu Mare,82,2020-07-11
33.,Sălaj,121,2020-07-11
34.,Sibiu,696,2020-07-11
35.,Suceava,4162,2020-07-11
36.,Teleorman,179,2020-07-11
37.,Timiș,585,2020-07-11
38.,Tulcea,201,2020-07-11
39.,Vaslui,226,2020-07-11
40.,Vâlcea,103,2020-07-11
41.,Vrancea,1222,2020-07-11
42.,Mun. București,3761,2020-07-11
43.,Not identified,37,2020-07-11
