No,County,Confirmed,Date
1.,Alba,385,2020-06-01
2.,Arad,697,2020-06-01
3.,Argeș,263,2020-06-01
4.,Bacău,507,2020-06-01
5.,Bihor,612,2020-06-01
6.,Bistrița-Năsăud,336,2020-06-01
7.,Botoșani,772,2020-06-01
8.,Brașov,752,2020-06-01
9.,Brăila,28,2020-06-01
10.,Buzău,198,2020-06-01
11.,Caraș-Severin,112,2020-06-01
12.,Călărași,95,2020-06-01
13.,Cluj,557,2020-06-01
14.,Constanța,283,2020-06-01
15.,Covasna,230,2020-06-01
16.,Dâmbovița,290,2020-06-01
17.,Dolj,230,2020-06-01
18.,Galați,603,2020-06-01
19.,Giurgiu,222,2020-06-01
20.,Gorj,146,2020-06-01
21.,Harghita,136,2020-06-01
22.,Hunedoara,632,2020-06-01
23.,Ialomița,364,2020-06-01
24.,Iași,575,2020-06-01
25.,Ilfov,530,2020-06-01
26.,Maramureș,100,2020-06-01
27.,Mehedinți,114,2020-06-01
28.,Mureș,680,2020-06-01
29.,Neamț,883,2020-06-01
30.,Olt,91,2020-06-01
31.,Prahova,113,2020-06-01
32.,Satu Mare,61,2020-06-01
 33.,Sălaj,93,2020-06-01
34.,Sibiu,505,2020-06-01
35.,Suceava,3536,2020-06-01
36.,Teleorman,144,2020-06-01
37.,Timiș,506,2020-06-01
38.,Tulcea,150,2020-06-01
39.,Vaslui,162,2020-06-01
40.,Vâlcea,30,2020-06-01
41.,Vrancea,626,2020-06-01
42.,Mun. București,2015,2020-06-01
43.,Not identified,34,2020-06-01
