No,County,Confirmed,Date
1.,Alba,208,2020-05-03
2.,Arad,606,2020-05-03
3.,Argeș,154,2020-05-03
4.,Bacău,266,2020-05-03
5.,Bihor,467,2020-05-03
6.,Bistrița-Năsăud,215,2020-05-03
7.,Botoșani,483,2020-05-03
8.,Brașov,489,2020-05-03
9.,Brăila,25,2020-05-03
10.,Buzău,21,2020-05-03
11.,Caraș-Severin,102,2020-05-03
12.,Călărași,53,2020-05-03
13.,Cluj,407,2020-05-03
14.,Constanța,243,2020-05-03
15.,Covasna,196,2020-05-03
16.,Dâmbovița,110,2020-05-03
17.,Dolj,128,2020-05-03
18.,Galați,422,2020-05-03
19.,Giurgiu,134,2020-05-03
20.,Gorj,65,2020-05-03
21.,Harghita,21,2020-05-03
22.,Hunedoara,527,2020-05-03
23.,Ialomița,214,2020-05-03
24.,Iași,276,2020-05-03
25.,Ilfov,281,2020-05-03
26.,Maramureș,75,2020-05-03
27.,Mehedinți,67,2020-05-03
28.,Mureș,487,2020-05-03
29.,Neamț,520,2020-05-03
30.,Olt,45,2020-05-03
31.,Prahova,73,2020-05-03
32.,Satu Mare,52,2020-05-03
33.,Sălaj,40,2020-05-03
34.,Sibiu,352,2020-05-03
35.,Suceava,2899,2020-05-03
36.,Teleorman,105,2020-05-03
37.,Timiș,479,2020-05-03
38.,Tulcea,54,2020-05-03
39.,Vaslui,116,2020-05-03
40.,Vâlcea,24,2020-05-03
41.,Vrancea,287,2020-05-03
42.,Mun. București,1354,2020-05-03
43.,Not identified,21,2020-05-03
