No,County,Confirmed,Date
1.,Alba,435,2020-06-28
2.,Arad,706,2020-06-28
3.,Argeș,744,2020-06-28
4.,Bacău,623,2020-06-28
5.,Bihor,670,2020-06-28
6.,Bistrița-Năsăud,518,2020-06-28
7.,Botoșani,1008,2020-06-28
8.,Brașov,1409,2020-06-28
9.,Brăila,190,2020-06-28
10.,Buzău,522,2020-06-28
11.,Caraș-Severin,113,2020-06-28
12.,Călărași,165,2020-06-28
13.,Cluj,676,2020-06-28
14.,Constanța,429,2020-06-28
15.,Covasna,277,2020-06-28
16.,Dâmbovița,507,2020-06-28
17.,Dolj,287,2020-06-28
18.,Galați,855,2020-06-28
19.,Giurgiu,266,2020-06-28
20.,Gorj,220,2020-06-28
21.,Harghita,313,2020-06-28
22.,Hunedoara,655,2020-06-28
23.,Ialomița,425,2020-06-28
24.,Iași,969,2020-06-28
25.,Ilfov,714,2020-06-28
26.,Maramureș,162,2020-06-28
27.,Mehedinți,185,2020-06-28
28.,Mureș,732,2020-06-28
29.,Neamț,960,2020-06-28
30.,Olt,216,2020-06-28
31.,Prahova,365,2020-06-28
32.,Satu Mare,76,2020-06-28
33.,Sălaj,118,2020-06-28
34.,Sibiu,644,2020-06-28
35.,Suceava,3998,2020-06-28
36.,Teleorman,158,2020-06-28
37.,Timiș,517,2020-06-28
38.,Tulcea,180,2020-06-28
39.,Vaslui,176,2020-06-28
40.,Vâlcea,51,2020-06-28
41.,Vrancea,1016,2020-06-28
42.,Mun. București,3030,2020-06-28
43.,Not identified,33,2020-06-28
