No,County,Confirmed,Date
1.,Alba,161,2020-04-23
2.,Arad,439,2020-04-23
3.,Argeș,114,2020-04-23
4.,Bacău,134,2020-04-23
5.,Bihor,348,2020-04-23
6.,Bistrița-Năsăud,148,2020-04-23
7.,Botoșani,393,2020-04-23
8.,Brașov,373,2020-04-23
9.,Brăila,19,2020-04-23
10.,Buzău,14,2020-04-23
11.,Caraș-Severin,78,2020-04-23
12.,Călărași,49,2020-04-23
13.,Cluj,278,2020-04-23
14.,Constanța,222,2020-04-23
15.,Covasna,165,2020-04-23
16.,Dâmbovița,88,2020-04-23
17.,Dolj,65,2020-04-23
18.,Galați,296,2020-04-23
19.,Giurgiu,111,2020-04-23
20.,Gorj,26,2020-04-23
21.,Harghita,18,2020-04-23
22.,Hunedoara,437,2020-04-23
23.,Ialomița,148,2020-04-23
24.,Iași,195,2020-04-23
25.,Ilfov,214,2020-04-23
26.,Maramureș,67,2020-04-23
27.,Mehedinți,48,2020-04-23
28.,Mureș,325,2020-04-23
29.,Neamț,405,2020-04-23
30.,Olt,20,2020-04-23
31.,Prahova,52,2020-04-23
32.,Satu Mare,53,2020-04-23
33.,Sălaj,28,2020-04-23
34.,Sibiu,209,2020-04-23
35.,Suceava,2417,2020-04-23
36.,Teleorman,96,2020-04-23
37.,Timiș,403,2020-04-23
38.,Tulcea,35,2020-04-23
39.,Vaslui,69,2020-04-23
40.,Vâlcea,22,2020-04-23
41.,Vrancea,207,2020-04-23
42.,Mun. București,1100,2020-04-23
43.,Not identified,7,2020-04-23
