No,County,Confirmed,Date
1.,Alba,109,2020-04-13
2.,Arad,270,2020-04-13
3.,Argeș,57,2020-04-13
4.,Bacău,76,2020-04-13
5.,Bihor,176,2020-04-13
6.,Bistrița-Năsăud,82,2020-04-13
7.,Botoșani,156,2020-04-13
8.,Brașov,253,2020-04-13
9.,Brăila,16,2020-04-13
10.,Buzău,13,2020-04-13
11.,Caraș-Severin,53,2020-04-13
12.,Călărași,39,2020-04-13
13.,Cluj,187,2020-04-13
14.,Constanța,151,2020-04-13
15.,Covasna,123,2020-04-13
16.,Dâmbovița,31,2020-04-13
17.,Dolj,44,2020-04-13
18.,Galați,195,2020-04-13
19.,Giurgiu,64,2020-04-13
20.,Gorj,10,2020-04-13
21.,Harghita,7,2020-04-13
22.,Hunedoara,303,2020-04-13
23.,Ialomița,102,2020-04-13
24.,Iași,118,2020-04-13
25.,Ilfov,126,2020-04-13
26.,Maramureș,49,2020-04-13
27.,Mehedinți,19,2020-04-13
28.,Mureș,222,2020-04-13
29.,Neamț,286,2020-04-13
30.,Olt,12,2020-04-13
31.,Prahova,39,2020-04-13
32.,Satu Mare,37,2020-04-13
33.,Sălaj,17,2020-04-13
34.,Sibiu,111,2020-04-13
35.,Suceava,1731,2020-04-13
36.,Teleorman,65,2020-04-13
37.,Timiș,300,2020-04-13
38.,Tulcea,16,2020-04-13
39.,Vaslui,47,2020-04-13
40.,Vâlcea,13,2020-04-13
41.,Vrancea,134,2020-04-13
42.,Mun. București,774,2020-04-13
