No,County,Confirmed,Date
1.,Alba,250,2020-05-12
2.,Arad,680,2020-05-12
3.,Argeș,181,2020-05-12
4.,Bacău,388,2020-05-12
5.,Bihor,489,2020-05-12
6.,Bistrița-Năsăud,272,2020-05-12
7.,Botoșani,622,2020-05-12
8.,Brașov,578,2020-05-12
9.,Brăila,19,2020-05-12
10.,Buzău,83,2020-05-12
11.,Caraș-Severin,109,2020-05-12
12.,Călărași,64,2020-05-12
13.,Cluj,514,2020-05-12
14.,Constanța,252,2020-05-12
15.,Covasna,222,2020-05-12
16.,Dâmbovița,152,2020-05-12
17.,Dolj,150,2020-05-12
18.,Galați,519,2020-05-12
19.,Giurgiu,205,2020-05-12
20.,Gorj,82,2020-05-12
21.,Harghita,24,2020-05-12
22.,Hunedoara,568,2020-05-12
23.,Ialomița,296,2020-05-12
24.,Iași,325,2020-05-12
25.,Ilfov,379,2020-05-12
26.,Maramureș,71,2020-05-12
27.,Mehedinți,82,2020-05-12
28.,Mureș,608,2020-05-12
29.,Neamț,773,2020-05-12
30.,Olt,51,2020-05-12
31.,Prahova,78,2020-05-12
32.,Satu Mare,54,2020-05-12
33.,Sălaj,51,2020-05-12
34.,Sibiu,424,2020-05-12
35.,Suceava,3283,2020-05-12
36.,Teleorman,106,2020-05-12
37.,Timiș,472,2020-05-12
38.,Tulcea,90,2020-05-12
39.,Vaslui,135,2020-05-12
40.,Vâlcea,26,2020-05-12
41.,Vrancea,465,2020-05-12
42.,Mun. București,1528,2020-05-12
43.,Not identified,58,2020-05-12
