No,County,Confirmed,Date
1.,Alba,9,2020-04-02
2.,Arad,110,2020-04-02
3.,Argeș,10,2020-04-02
4.,Bacău,19,2020-04-02
5.,Bihor,39,2020-04-02
6.,Bistrița-Năsăud,22,2020-04-02
7.,Botoșani,40,2020-04-02
8.,Brașov,117,2020-04-02
9.,Brăila,11,2020-04-02
10.,Buzău,12,2020-04-02
11.,Caraș-Severin,13,2020-04-02
12.,Călărași,17,2020-04-02
13.,Cluj,105,2020-04-02
14.,Constanța,111,2020-04-02
15.,Covasna,34,2020-04-02
16.,Dâmbovița,19,2020-04-02
17.,Dolj,22,2020-04-02
18.,Galați,82,2020-04-02
19.,Giurgiu,19,2020-04-02
20.,Gorj,7,2020-04-02
21.,Harghita,0,2020-04-02
22.,Hunedoara,100,2020-04-02
23.,Ialomița,37,2020-04-02
24.,Iași,54,2020-04-02
25.,Ilfov,54,2020-04-02
26.,Maramureș,39,2020-04-02
27.,Mehedinți,10,2020-04-02
28.,Mureș,38,2020-04-02
29.,Neamț,107,2020-04-02
30.,Olt,8,2020-04-02
31.,Prahova,27,2020-04-02
32.,Satu Mare,16,2020-04-02
33.,Sălaj,6,2020-04-02
34.,Sibiu,22,2020-04-02
35.,Suceava,701,2020-04-02
36.,Teleorman,16,2020-04-02
37.,Timiș,98,2020-04-02
38.,Tulcea,6,2020-04-02
39.,Vaslui,9,2020-04-02
40.,Vâlcea,7,2020-04-02
41.,Vrancea,60,2020-04-02
42.,Mun. București,505,2020-04-02
