No,County,Confirmed,Date
1.,Alba,589,2020-07-21
2.,Arad,801,2020-07-21
3.,Argeș,2176,2020-07-21
4.,Bacău,947,2020-07-21
5.,Bihor,729,2020-07-21
6.,Bistrița-Năsăud,711,2020-07-21
7.,Botoșani,1108,2020-07-21
8.,Brașov,2424,2020-07-21
9.,Brăila,421,2020-07-21
10.,Buzău,1018,2020-07-21
11.,Caraș-Severin,164,2020-07-21
12.,Călărași,243,2020-07-21
13.,Cluj,902,2020-07-21
14.,Constanța,657,2020-07-21
15.,Covasna,376,2020-07-21
16.,Dâmbovița,1253,2020-07-21
17.,Dolj,469,2020-07-21
18.,Galați,1677,2020-07-21
19.,Giurgiu,328,2020-07-21
20.,Gorj,576,2020-07-21
21.,Harghita,424,2020-07-21
22.,Hunedoara,782,2020-07-21
23.,Ialomița,604,2020-07-21
24.,Iași,1149,2020-07-21
25.,Ilfov,1045,2020-07-21
26.,Maramureș,284,2020-07-21
27.,Mehedinți,356,2020-07-21
28.,Mureș,871,2020-07-21
29.,Neamț,1071,2020-07-21
30.,Olt,526,2020-07-21
31.,Prahova,1183,2020-07-21
32.,Satu Mare,85,2020-07-21
33.,Sălaj,132,2020-07-21
34.,Sibiu,779,2020-07-21
35.,Suceava,4290,2020-07-21
36.,Teleorman,232,2020-07-21
37.,Timiș,829,2020-07-21
38.,Tulcea,234,2020-07-21
39.,Vaslui,408,2020-07-21
40.,Vâlcea,221,2020-07-21
41.,Vrancea,1400,2020-07-21
42.,Mun. București,4618,2020-07-21
43.,Not identified,41,2020-07-21
