No,County,Confirmed,Date
1.,Alba,551,2020-07-18
2.,Arad,773,2020-07-18
3.,Argeș,1862,2020-07-18
4.,Bacău,848,2020-07-18
5.,Bihor,721,2020-07-18
6.,Bistrița-Năsăud,682,2020-07-18
7.,Botoșani,1099,2020-07-18
8.,Brașov,2296,2020-07-18
9.,Brăila,376,2020-07-18
10.,Buzău,941,2020-07-18
11.,Caraș-Severin,144,2020-07-18
12.,Călărași,229,2020-07-18
13.,Cluj,845,2020-07-18
14.,Constanța,611,2020-07-18
15.,Covasna,358,2020-07-18
16.,Dâmbovița,1137,2020-07-18
17.,Dolj,430,2020-07-18
18.,Galați,1514,2020-07-18
19.,Giurgiu,326,2020-07-18
20.,Gorj,525,2020-07-18
21.,Harghita,418,2020-07-18
22.,Hunedoara,759,2020-07-18
23.,Ialomița,576,2020-07-18
24.,Iași,1125,2020-07-18
25.,Ilfov,988,2020-07-18
26.,Maramureș,268,2020-07-18
27.,Mehedinți,323,2020-07-18
28.,Mureș,854,2020-07-18
29.,Neamț,1048,2020-07-18
30.,Olt,469,2020-07-18
31.,Prahova,1028,2020-07-18
32.,Satu Mare,83,2020-07-18
33.,Sălaj,127,2020-07-18
34.,Sibiu,745,2020-07-18
35.,Suceava,4251,2020-07-18
36.,Teleorman,218,2020-07-18
37.,Timiș,765,2020-07-18
38.,Tulcea,229,2020-07-18
39.,Vaslui,297,2020-07-18
40.,Vâlcea,210,2020-07-18
41.,Vrancea,1343,2020-07-18
42.,Mun. București,4260,2020-07-18
43.,Not identified,39,2020-07-18
