No,County,Confirmed,Date
1.,Alba,463,2020-07-04
2.,Arad,707,2020-07-04
3.,Argeș,946,2020-07-04
4.,Bacău,664,2020-07-04
5.,Bihor,679,2020-07-04
6.,Bistrița-Năsăud,561,2020-07-04
7.,Botoșani,1041,2020-07-04
8.,Brașov,1651,2020-07-04
9.,Brăila,238,2020-07-04
10.,Buzău,630,2020-07-04
11.,Caraș-Severin,119,2020-07-04
12.,Călărași,178,2020-07-04
13.,Cluj,693,2020-07-04
14.,Constanța,475,2020-07-04
15.,Covasna,296,2020-07-04
16.,Dâmbovița,635,2020-07-04
17.,Dolj,324,2020-07-04
18.,Galați,989,2020-07-04
19.,Giurgiu,272,2020-07-04
20.,Gorj,259,2020-07-04
21.,Harghita,338,2020-07-04
22.,Hunedoara,664,2020-07-04
23.,Ialomița,440,2020-07-04
24.,Iași,1021,2020-07-04
25.,Ilfov,781,2020-07-04
26.,Maramureș,206,2020-07-04
27.,Mehedinți,201,2020-07-04
28.,Mureș,751,2020-07-04
29.,Neamț,977,2020-07-04
30.,Olt,266,2020-07-04
31.,Prahova,547,2020-07-04
32.,Satu Mare,80,2020-07-04
33.,Sălaj,120,2020-07-04
34.,Sibiu,668,2020-07-04
35.,Suceava,4078,2020-07-04
36.,Teleorman,165,2020-07-04
37.,Timiș,534,2020-07-04
38.,Tulcea,188,2020-07-04
39.,Vaslui,191,2020-07-04
40.,Vâlcea,55,2020-07-04
41.,Vrancea,1105,2020-07-04
42.,Mun. București,3349,2020-07-04
43.,Not identified,37,2020-07-04
