No,County,Confirmed,Date
1.,Alba,469,2020-07-07
2.,Arad,707,2020-07-07
3.,Argeș,1030,2020-07-07
4.,Bacău,686,2020-07-07
5.,Bihor,697,2020-07-07
6.,Bistrița-Năsăud,582,2020-07-07
7.,Botoșani,1050,2020-07-07
8.,Brașov,1743,2020-07-07
9.,Brăila,253,2020-07-07
10.,Buzău,651,2020-07-07
11.,Caraș-Severin,119,2020-07-07
12.,Călărași,183,2020-07-07
13.,Cluj,712,2020-07-07
14.,Constanța,492,2020-07-07
15.,Covasna,302,2020-07-07
16.,Dâmbovița,697,2020-07-07
17.,Dolj,339,2020-07-07
18.,Galați,1105,2020-07-07
19.,Giurgiu,278,2020-07-07
20.,Gorj,299,2020-07-07
21.,Harghita,348,2020-07-07
22.,Hunedoara,665,2020-07-07
23.,Ialomița,455,2020-07-07
24.,Iași,1031,2020-07-07
25.,Ilfov,816,2020-07-07
26.,Maramureș,216,2020-07-07
27.,Mehedinți,218,2020-07-07
28.,Mureș,767,2020-07-07
29.,Neamț,981,2020-07-07
30.,Olt,301,2020-07-07
31.,Prahova,614,2020-07-07
32.,Satu Mare,81,2020-07-07
33.,Sălaj,121,2020-07-07
34.,Sibiu,676,2020-07-07
35.,Suceava,4098,2020-07-07
36.,Teleorman,168,2020-07-07
37.,Timiș,546,2020-07-07
38.,Tulcea,191,2020-07-07
39.,Vaslui,198,2020-07-07
40.,Vâlcea,86,2020-07-07
41.,Vrancea,1148,2020-07-07
42.,Mun. București,3464,2020-07-07
43.,Not identified,37,2020-07-07
