No,County,Confirmed,Date
1.,Alba,396,2020-06-05
2.,Arad,698,2020-06-05
3.,Argeș,275,2020-06-05
4.,Bacău,515,2020-06-05
5.,Bihor,635,2020-06-05
6.,Bistrița-Năsăud,360,2020-06-05
7.,Botoșani,812,2020-06-05
8.,Brașov,806,2020-06-05
9.,Brăila,43,2020-06-05
10.,Buzău,204,2020-06-05
11.,Caraș-Severin,112,2020-06-05
12.,Călărași,101,2020-06-05
13.,Cluj,575,2020-06-05
14.,Constanța,286,2020-06-05
15.,Covasna,230,2020-06-05
16.,Dâmbovița,305,2020-06-05
17.,Dolj,238,2020-06-05
18.,Galați,628,2020-06-05
19.,Giurgiu,226,2020-06-05
20.,Gorj,152,2020-06-05
21.,Harghita,164,2020-06-05
22.,Hunedoara,637,2020-06-05
23.,Ialomița,391,2020-06-05
24.,Iași,611,2020-06-05
25.,Ilfov,548,2020-06-05
26.,Maramureș,103,2020-06-05
27.,Mehedinți,115,2020-06-05
28.,Mureș,685,2020-06-05
29.,Neamț,896,2020-06-05
30.,Olt,100,2020-06-05
31.,Prahova,117,2020-06-05
32.,Satu Mare,62,2020-06-05
33.,Sălaj,98,2020-06-05
34.,Sibiu,509,2020-06-05
35.,Suceava,3576,2020-06-05
36.,Teleorman,146,2020-06-05
37.,Timiș,508,2020-06-05
38.,Tulcea,155,2020-06-05
39.,Vaslui,164,2020-06-05
40.,Vâlcea,34,2020-06-05
41.,Vrancea,670,2020-06-05
42.,Mun. București,2183,2020-06-05
43.,Not identified,34,2020-06-05
