No,County,Confirmed,Date
1.,Alba,493,2020-07-12
2.,Arad,714,2020-07-12
3.,Argeș,1349,2020-07-12
4.,Bacău,746,2020-07-12
5.,Bihor,708,2020-07-12
6.,Bistrița-Năsăud,631,2020-07-12
7.,Botoșani,1073,2020-07-12
8.,Brașov,1997,2020-07-12
9.,Brăila,298,2020-07-12
10.,Buzău,794,2020-07-12
11.,Caraș-Severin,128,2020-07-12
12.,Călărași,209,2020-07-12
13.,Cluj,762,2020-07-12
14.,Constanța,542,2020-07-12
15.,Covasna,329,2020-07-12
16.,Dâmbovița,935,2020-07-12
17.,Dolj,387,2020-07-12
18.,Galați,1239,2020-07-12
19.,Giurgiu,283,2020-07-12
20.,Gorj,422,2020-07-12
21.,Harghita,380,2020-07-12
22.,Hunedoara,709,2020-07-12
23.,Ialomița,522,2020-07-12
24.,Iași,1070,2020-07-12
25.,Ilfov,899,2020-07-12
26.,Maramureș,236,2020-07-12
27.,Mehedinți,263,2020-07-12
28.,Mureș,810,2020-07-12
29.,Neamț,1003,2020-07-12
30.,Olt,368,2020-07-12
31.,Prahova,765,2020-07-12
32.,Satu Mare,82,2020-07-12
33.,Sălaj,121,2020-07-12
34.,Sibiu,699,2020-07-12
35.,Suceava,4167,2020-07-12
36.,Teleorman,179,2020-07-12
37.,Timiș,600,2020-07-12
38.,Tulcea,203,2020-07-12
39.,Vaslui,231,2020-07-12
40.,Vâlcea,115,2020-07-12
41.,Vrancea,1236,2020-07-12
42.,Mun. București,3801,2020-07-12
43.,Not identified,37,2020-07-12
