No,County,Confirmed,Date
1.,Alba,276,2020-05-21
2.,Arad,697,2020-05-21
3.,Argeș,226,2020-05-21
4.,Bacău,465,2020-05-21
5.,Bihor,527,2020-05-21
6.,Bistrița-Năsăud,312,2020-05-21
7.,Botoșani,694,2020-05-21
8.,Brașov,662,2020-05-21
9.,Brăila,19,2020-05-21
10.,Buzău,151,2020-05-21
11.,Caraș-Severin,111,2020-05-21
12.,Călărași,77,2020-05-21
13.,Cluj,538,2020-05-21
14.,Constanța,265,2020-05-21
15.,Covasna,229,2020-05-21
16.,Dâmbovița,244,2020-05-21
17.,Dolj,178,2020-05-21
18.,Galați,557,2020-05-21
19.,Giurgiu,210,2020-05-21
20.,Gorj,100,2020-05-21
21.,Harghita,100,2020-05-21
22.,Hunedoara,619,2020-05-21
23.,Ialomița,342,2020-05-21
24.,Iași,428,2020-05-21
25.,Ilfov,435,2020-05-21
26.,Maramureș,84,2020-05-21
27.,Mehedinți,101,2020-05-21
28.,Mureș,660,2020-05-21
29.,Neamț,845,2020-05-21
30.,Olt,65,2020-05-21
31.,Prahova,89,2020-05-21
32.,Satu Mare,60,2020-05-21
33.,Sălaj,78,2020-05-21
34.,Sibiu,470,2020-05-21
35.,Suceava,3472,2020-05-21
36.,Teleorman,119,2020-05-21
37.,Timiș,494,2020-05-21
38.,Tulcea,135,2020-05-21
39.,Vaslui,149,2020-05-21
40.,Vâlcea,28,2020-05-21
41.,Vrancea,552,2020-05-21
42.,Mun. București,1687,2020-05-21
43.,Not identified,35,2020-05-21
