No,County,Confirmed,Date
1.,Alba,141,2020-04-17
2.,Arad,360,2020-04-17
3.,Argeș,73,2020-04-17
4.,Bacău,107,2020-04-17
5.,Bihor,222,2020-04-17
6.,Bistrița-Năsăud,94,2020-04-17
7.,Botoșani,310,2020-04-17
8.,Brașov,299,2020-04-17
9.,Brăila,16,2020-04-17
10.,Buzău,14,2020-04-17
11.,Caraș-Severin,58,2020-04-17
12.,Călărași,40,2020-04-17
13.,Cluj,224,2020-04-17
14.,Constanța,172,2020-04-17
15.,Covasna,123,2020-04-17
16.,Dâmbovița,73,2020-04-17
17.,Dolj,57,2020-04-17
18.,Galați,260,2020-04-17
19.,Giurgiu,83,2020-04-17
20.,Gorj,12,2020-04-17
21.,Harghita,11,2020-04-17
22.,Hunedoara,372,2020-04-17
23.,Ialomița,114,2020-04-17
24.,Iași,149,2020-04-17
25.,Ilfov,160,2020-04-17
26.,Maramureș,55,2020-04-17
27.,Mehedinți,35,2020-04-17
28.,Mureș,250,2020-04-17
29.,Neamț,350,2020-04-17
30.,Olt,13,2020-04-17
31.,Prahova,50,2020-04-17
32.,Satu Mare,42,2020-04-17
33.,Sălaj,19,2020-04-17
34.,Sibiu,126,2020-04-17
35.,Suceava,1924,2020-04-17
36.,Teleorman,77,2020-04-17
37.,Timiș,354,2020-04-17
38.,Tulcea,25,2020-04-17
39.,Vaslui,58,2020-04-17
40.,Vâlcea,17,2020-04-17
41.,Vrancea,186,2020-04-17
42.,Mun. București,942,2020-04-17
