No,County,Confirmed,Date
1.,Alba,414,2020-06-17
2.,Arad,705,2020-06-17
3.,Argeș,394,2020-06-17
4.,Bacău,575,2020-06-17
5.,Bihor,660,2020-06-17
6.,Bistrița-Năsăud,435,2020-06-17
7.,Botoșani,921,2020-06-17
8.,Brașov,1085,2020-06-17
9.,Brăila,93,2020-06-17
10.,Buzău,343,2020-06-17
11.,Caraș-Severin,112,2020-06-17
12.,Călărași,137,2020-06-17
13.,Cluj,620,2020-06-17
14.,Constanța,326,2020-06-17
15.,Covasna,248,2020-06-17
16.,Dâmbovița,383,2020-06-17
17.,Dolj,258,2020-06-17
18.,Galați,716,2020-06-17
19.,Giurgiu,250,2020-06-17
20.,Gorj,178,2020-06-17
21.,Harghita,232,2020-06-17
22.,Hunedoara,640,2020-06-17
23.,Ialomița,402,2020-06-17
24.,Iași,754,2020-06-17
25.,Ilfov,640,2020-06-17
26.,Maramureș,122,2020-06-17
27.,Mehedinți,161,2020-06-17
28.,Mureș,702,2020-06-17
29.,Neamț,931,2020-06-17
30.,Olt,136,2020-06-17
31.,Prahova,181,2020-06-17
32.,Satu Mare,67,2020-06-17
33.,Sălaj,109,2020-06-17
34.,Sibiu,565,2020-06-17
35.,Suceava,3829,2020-06-17
36.,Teleorman,151,2020-06-17
37.,Timiș,511,2020-06-17
38.,Tulcea,167,2020-06-17
39.,Vaslui,165,2020-06-17
40.,Vâlcea,39,2020-06-17
41.,Vrancea,851,2020-06-17
42.,Mun. București,2518,2020-06-17
43.,Not identified,34,2020-06-17
