No,County,Confirmed,Date
1.,Alba,50,2020-04-07
2.,Arad,161,2020-04-07
3.,Argeș,31,2020-04-07
4.,Bacău,47,2020-04-07
5.,Bihor,55,2020-04-07
6.,Bistrița-Năsăud,70,2020-04-07
7.,Botoșani,86,2020-04-07
8.,Brașov,156,2020-04-07
9.,Brăila,12,2020-04-07
10.,Buzău,13,2020-04-07
11.,Caraș-Severin,23,2020-04-07
12.,Călărași,33,2020-04-07
13.,Cluj,119,2020-04-07
14.,Constanța,119,2020-04-07
15.,Covasna,55,2020-04-07
16.,Dâmbovița,25,2020-04-07
17.,Dolj,29,2020-04-07
18.,Galați,133,2020-04-07
19.,Giurgiu,34,2020-04-07
20.,Gorj,7,2020-04-07
21.,Harghita,3,2020-04-07
22.,Hunedoara,158,2020-04-07
23.,Ialomița,72,2020-04-07
24.,Iași,92,2020-04-07
25.,Ilfov,99,2020-04-07
26.,Maramureș,43,2020-04-07
27.,Mehedinți,13,2020-04-07
28.,Mureș,92,2020-04-07
29.,Neamț,182,2020-04-07
30.,Olt,11,2020-04-07
31.,Prahova,36,2020-04-07
32.,Satu Mare,27,2020-04-07
33.,Sălaj,11,2020-04-07
34.,Sibiu,69,2020-04-07
35.,Suceava,1322,2020-04-07
36.,Teleorman,31,2020-04-07
37.,Timiș,191,2020-04-07
38.,Tulcea,6,2020-04-07
39.,Vaslui,15,2020-04-07
40.,Vâlcea,9,2020-04-07
41.,Vrancea,79,2020-04-07
42.,Mun. București,598,2020-04-07
