No,County,Confirmed,Date
1.,Alba,427,2020-06-24
2.,Arad,706,2020-06-24
3.,Argeș,566,2020-06-24
4.,Bacău,599,2020-06-24
5.,Bihor,667,2020-06-24
6.,Bistrița-Năsăud,479,2020-06-24
7.,Botoșani,979,2020-06-24
8.,Brașov,1277,2020-06-24
9.,Brăila,131,2020-06-24
10.,Buzău,443,2020-06-24
11.,Caraș-Severin,112,2020-06-24
12.,Călărași,149,2020-06-24
13.,Cluj,661,2020-06-24
14.,Constanța,390,2020-06-24
15.,Covasna,268,2020-06-24
16.,Dâmbovița,445,2020-06-24
17.,Dolj,271,2020-06-24
18.,Galați,794,2020-06-24
19.,Giurgiu,259,2020-06-24
20.,Gorj,204,2020-06-24
21.,Harghita,284,2020-06-24
22.,Hunedoara,645,2020-06-24
23.,Ialomița,414,2020-06-24
24.,Iași,896,2020-06-24
25.,Ilfov,690,2020-06-24
26.,Maramureș,149,2020-06-24
27.,Mehedinți,177,2020-06-24
28.,Mureș,724,2020-06-24
29.,Neamț,952,2020-06-24
30.,Olt,171,2020-06-24
31.,Prahova,246,2020-06-24
32.,Satu Mare,76,2020-06-24
33.,Sălaj,113,2020-06-24
34.,Sibiu,616,2020-06-24
35.,Suceava,3967,2020-06-24
36.,Teleorman,155,2020-06-24
37.,Timiș,516,2020-06-24
38.,Tulcea,173,2020-06-24
39.,Vaslui,171,2020-06-24
40.,Vâlcea,48,2020-06-24
41.,Vrancea,952,2020-06-24
42.,Mun. București,2831,2020-06-24
43.,Not identified,33,2020-06-24
