No,County,Confirmed,Date
1.,Alba,206,2020-05-02
2.,Arad,576,2020-05-02
3.,Argeș,143,2020-05-02
4.,Bacău,250,2020-05-02
5.,Bihor,460,2020-05-02
6.,Bistrița-Năsăud,203,2020-05-02
7.,Botoșani,458,2020-05-02
8.,Brașov,473,2020-05-02
9.,Brăila,23,2020-05-02
10.,Buzău,20,2020-05-02
11.,Caraș-Severin,94,2020-05-02
12.,Călărași,51,2020-05-02
13.,Cluj,399,2020-05-02
14.,Constanța,238,2020-05-02
15.,Covasna,189,2020-05-02
16.,Dâmbovița,103,2020-05-02
17.,Dolj,127,2020-05-02
18.,Galați,396,2020-05-02
19.,Giurgiu,134,2020-05-02
20.,Gorj,59,2020-05-02
21.,Harghita,22,2020-05-02
22.,Hunedoara,517,2020-05-02
23.,Ialomița,191,2020-05-02
24.,Iași,267,2020-05-02
25.,Ilfov,272,2020-05-02
26.,Maramureș,74,2020-05-02
27.,Mehedinți,65,2020-05-02
28.,Mureș,447,2020-05-02
29.,Neamț,512,2020-05-02
30.,Olt,42,2020-05-02
31.,Prahova,72,2020-05-02
32.,Satu Mare,54,2020-05-02
33.,Sălaj,34,2020-05-02
34.,Sibiu,334,2020-05-02
35.,Suceava,2881,2020-05-02
36.,Teleorman,102,2020-05-02
37.,Timiș,466,2020-05-02
38.,Tulcea,53,2020-05-02
39.,Vaslui,116,2020-05-02
40.,Vâlcea,25,2020-05-02
41.,Vrancea,259,2020-05-02
42.,Mun. București,1305,2020-05-02
43.,Not identified,20,2020-05-02
