No,County,Confirmed,Date
1.,Alba,274,2020-05-20
2.,Arad,697,2020-05-20
3.,Argeș,223,2020-05-20
4.,Bacău,453,2020-05-20
5.,Bihor,518,2020-05-20
6.,Bistrița-Năsăud,309,2020-05-20
7.,Botoșani,691,2020-05-20
8.,Brașov,646,2020-05-20
9.,Brăila,19,2020-05-20
10.,Buzău,148,2020-05-20
11.,Caraș-Severin,110,2020-05-20
12.,Călărași,77,2020-05-20
13.,Cluj,532,2020-05-20
14.,Constanța,265,2020-05-20
15.,Covasna,229,2020-05-20
16.,Dâmbovița,240,2020-05-20
17.,Dolj,172,2020-05-20
18.,Galați,548,2020-05-20
19.,Giurgiu,210,2020-05-20
20.,Gorj,96,2020-05-20
21.,Harghita,90,2020-05-20
22.,Hunedoara,617,2020-05-20
23.,Ialomița,336,2020-05-20
24.,Iași,388,2020-05-20
25.,Ilfov,434,2020-05-20
26.,Maramureș,85,2020-05-20
27.,Mehedinți,97,2020-05-20
28.,Mureș,659,2020-05-20
29.,Neamț,841,2020-05-20
30.,Olt,53,2020-05-20
31.,Prahova,83,2020-05-20
32.,Satu Mare,58,2020-05-20
33.,Sălaj,77,2020-05-20
34.,Sibiu,470,2020-05-20
35.,Suceava,3469,2020-05-20
36.,Teleorman,118,2020-05-20
37.,Timiș,494,2020-05-20
38.,Tulcea,128,2020-05-20
39.,Vaslui,149,2020-05-20
40.,Vâlcea,28,2020-05-20
41.,Vrancea,546,2020-05-20
42.,Mun. București,1674,2020-05-20
43.,Not identified,36,2020-05-20
