No,County,Confirmed,Date
1.,Alba,90,2020-04-09
2.,Arad,162,2020-04-09
3.,Argeș,32,2020-04-09
4.,Bacău,56,2020-04-09
5.,Bihor,66,2020-04-09
6.,Bistrița-Năsăud,76,2020-04-09
7.,Botoșani,106,2020-04-09
8.,Brașov,175,2020-04-09
9.,Brăila,16,2020-04-09
10.,Buzău,13,2020-04-09
11.,Caraș-Severin,34,2020-04-09
12.,Călărași,34,2020-04-09
13.,Cluj,148,2020-04-09
14.,Constanța,124,2020-04-09
15.,Covasna,62,2020-04-09
16.,Dâmbovița,28,2020-04-09
17.,Dolj,39,2020-04-09
18.,Galați,175,2020-04-09
19.,Giurgiu,46,2020-04-09
20.,Gorj,9,2020-04-09
21.,Harghita,4,2020-04-09
22.,Hunedoara,212,2020-04-09
23.,Ialomița,81,2020-04-09
24.,Iași,131,2020-04-09
25.,Ilfov,107,2020-04-09
26.,Maramureș,43,2020-04-09
27.,Mehedinți,15,2020-04-09
28.,Mureș,146,2020-04-09
29.,Neamț,202,2020-04-09
30.,Olt,12,2020-04-09
31.,Prahova,36,2020-04-09
32.,Satu Mare,28,2020-04-09
33.,Sălaj,12,2020-04-09
34.,Sibiu,90,2020-04-09
35.,Suceava,1487,2020-04-09
36.,Teleorman,41,2020-04-09
37.,Timiș,252,2020-04-09
38.,Tulcea,11,2020-04-09
39.,Vaslui,36,2020-04-09
40.,Vâlcea,11,2020-04-09
41.,Vrancea,95,2020-04-09
42.,Mun. București,659,2020-04-09
