No,County,Confirmed,Date
1.,Alba,235,2020-05-11
2.,Arad,679,2020-05-11
3.,Argeș,179,2020-05-11
4.,Bacău,384,2020-05-11
5.,Bihor,485,2020-05-11
6.,Bistrița-Năsăud,266,2020-05-11
7.,Botoșani,593,2020-05-11
8.,Brașov,577,2020-05-11
9.,Brăila,19,2020-05-11
10.,Buzău,66,2020-05-11
11.,Caraș-Severin,109,2020-05-11
12.,Călărași,63,2020-05-11
13.,Cluj,514,2020-05-11
14.,Constanța,251,2020-05-11
15.,Covasna,221,2020-05-11
16.,Dâmbovița,148,2020-05-11
17.,Dolj,145,2020-05-11
18.,Galați,514,2020-05-11
19.,Giurgiu,201,2020-05-11
20.,Gorj,78,2020-05-11
21.,Harghita,24,2020-05-11
22.,Hunedoara,565,2020-05-11
23.,Ialomița,289,2020-05-11
24.,Iași,311,2020-05-11
25.,Ilfov,375,2020-05-11
26.,Maramureș,71,2020-05-11
27.,Mehedinți,82,2020-05-11
28.,Mureș,602,2020-05-11
29.,Neamț,760,2020-05-11
30.,Olt,53,2020-05-11
31.,Prahova,76,2020-05-11
32.,Satu Mare,54,2020-05-11
33.,Sălaj,50,2020-05-11
34.,Sibiu,416,2020-05-11
35.,Suceava,3272,2020-05-11
36.,Teleorman,101,2020-05-11
37.,Timiș,472,2020-05-11
38.,Tulcea,88,2020-05-11
39.,Vaslui,133,2020-05-11
40.,Vâlcea,26,2020-05-11
41.,Vrancea,462,2020-05-11
42.,Mun. București,1519,2020-05-11
43.,Not identified,60,2020-05-11
