No,County,Confirmed,Date
1.,Alba,382,2020-05-30
2.,Arad,697,2020-05-30
3.,Argeș,257,2020-05-30
4.,Bacău,506,2020-05-30
5.,Bihor,586,2020-05-30
6.,Bistrița-Năsăud,334,2020-05-30
7.,Botoșani,750,2020-05-30
8.,Brașov,743,2020-05-30
9.,Brăila,28,2020-05-30
10.,Buzău,191,2020-05-30
11.,Caraș-Severin,112,2020-05-30
12.,Călărași,94,2020-05-30
13.,Cluj,548,2020-05-30
14.,Constanța,279,2020-05-30
15.,Covasna,229,2020-05-30
16.,Dâmbovița,292,2020-05-30
17.,Dolj,222,2020-05-30
18.,Galați,594,2020-05-30
19.,Giurgiu,216,2020-05-30
20.,Gorj,142,2020-05-30
21.,Harghita,129,2020-05-30
22.,Hunedoara,632,2020-05-30
23.,Ialomița,360,2020-05-30
24.,Iași,551,2020-05-30
25.,Ilfov,527,2020-05-30
26.,Maramureș,98,2020-05-30
27.,Mehedinți,112,2020-05-30
28.,Mureș,680,2020-05-30
29.,Neamț,882,2020-05-30
30.,Olt,80,2020-05-30
31.,Prahova,110,2020-05-30
32.,Satu Mare,61,2020-05-30
33.,Sălaj,91,2020-05-30
34.,Sibiu,503,2020-05-30
35.,Suceava,3515,2020-05-30
36.,Teleorman,144,2020-05-30
37.,Timiș,505,2020-05-30
38.,Tulcea,146,2020-05-30
39.,Vaslui,162,2020-05-30
40.,Vâlcea,30,2020-05-30
41.,Vrancea,617,2020-05-30
42.,Mun. București,1961,2020-05-30
43.,Not identified,35,2020-05-30
